EntityId,pumpUtilValue,Variance7DayValue,BattVoltValue,PumpConstantValue,GallonsValue,Gal1Value,targetAValue,RadarStatusValue,SupplyvoltageoftheCIControllerTimestamp,SupplyvoltageoftheCIControllerValue,SensorTempValue,PeakPumpCurrentValue,PumpTypeValue,PumpCalibrationStatusValue,LastPumpConstantValue,PumpConstantVoltageValue,PumpRelayStateValue,VariableSpeedPumpValue,OrientationValue,TemperatureValue,PumpOperatingCycleTimeValue,PumpOperatingOnTimeValue,ErrorStatusBitValue,MasterVolumeTimebaseFlowValue,SonicRssiValue,BattEnergyValue,MasterVolumeFlowValue,PumpCycletimeValue,PumpOntimeValue,Gal2Value,OperatingModeValue,ContactReasonTimestamp,ContactReasonValue,BattLevelValue,AmbientTemperatureValue,Status1Timestamp,Status1Value,VarianceRateValue,Amountpumpedthis24HrcontractperiodValue,DaysInvValue,AmountToFullValue,Variance1DayValue,Limit3Timestamp,Limit3Value,Gal3Value,TankLevelValue,Limit2Timestamp,Limit2Value,SensorAnalogInputValue,Limit1Timestamp,Limit1Value,TargetInjectionRateSetPointforAutoVolumeModeValue,CurrentPumpConstantValue,AveragePumpCurrentCalculatedValue,ImsiValue,Gal7Value,NetRssiValue,SendAttemptsValue,CSQTimestamp,CSQValue,ControllerStatusTimestamp,ControllerStatusValue,SonicResultCodeValue,NewDataTimestamp,NewDataValue,ImeiValue,FillGalTimestamp,FillGalValue,RadarFirmwareValue,HighTemperatureShutoffPointValue,GsmRatValue,GsmNetworkValue,TargetRatioforAutoTrackModeValue,PumpEnergizeValue,ValveEnergizeValue,TargetInjectionRateValue,ActualInjectionRateValue,PublishTimestamp,PublishValue,Amountpumpedprevious24HrcontractperiodValue,MaxGallonsValue,UllageTimestamp,UllageValue,ENTITYFIELDValue,ENTITYFIELDTs,ENTITYFIELDType
00db7830-01bb-11ef-a9f6-c90f2ddade4f,,,3.617,,447.22447518,1.0652734599999576,,0.0,2024-10-02 08:00:00.000,3617.0,57.2,,,,,,,,43.0,,,,,,10.0,1265.0,,,,0.8,TLM,2024-10-02 08:00:00.000,34.0,95.0,572.0,1970-01-01 00:00:00.000,,,,,562.77552482,,2024-10-02 08:00:00.000,False,0.71,33.41742,2024-10-02 08:00:00.000,False,,2024-10-02 08:00:00.000,False,,,,,23.207142857142856,-66,3.0,2024-10-02 08:00:00.000,66.0,2024-10-02 08:00:00.000,Offline,10.0,2024-10-02 08:00:00.000,1.0,,2024-10-02 08:00:00.000,0.0,0.15,,LTE NB-IoT,True,,,,0.0,,1970-01-01 00:00:00.000,,,1010.0,2024-10-02 08:00:00.000,48.58258,864259063687278,1727897211032,TEK
00e3c840-5f13-11ef-bdc7-f9c9b5da3899,,,3.579,,199.9998341184404,0.702479956774539,,1.0,2024-10-02 08:00:00.000,3579.0,59.0,,,,,,,,15.0,,,,,,10.0,1296.0,,,,0.35,TLM,2024-10-02 08:00:00.000,34.0,98.0,590.0,1970-01-01 00:00:00.000,,,,,25.00016588155961,,2024-10-02 08:00:00.000,False,0.0766666666666666,28.68702,2024-10-02 08:00:00.000,False,,2024-10-02 08:00:00.000,False,,,,,0.0328571428571428,-110,3.0,2024-10-02 08:00:00.000,110.0,2024-10-02 08:00:00.000,Online,8.0,2024-10-02 08:00:00.000,1.0,,2024-10-02 08:00:00.000,0.0,1.1,,LTE CATM1,True,,,,0.0,,1970-01-01 00:00:00.000,,,225.0,2024-10-02 08:00:00.000,6.0629800000000005,866088072619172,1727897211032,TEK
00f5c500-4dcb-11ed-9857-81f573be3068,,,,,,,,,1970-01-01 00:00:00.000,,,,,,,,,,,,,,,,,,,,,,,1970-01-01 00:00:00.000,,,,1970-01-01 00:00:00.000,,,,,,,1970-01-01 00:00:00.000,,,,1970-01-01 00:00:00.000,,,1970-01-01 00:00:00.000,,,,,,,,,1970-01-01 00:00:00.000,,1970-01-01 00:00:00.000,,,1970-01-01 00:00:00.000,,,1970-01-01 00:00:00.000,,,,,,,,,,,1970-01-01 00:00:00.000,,,,1970-01-01 00:00:00.000,,SFGW,1727897211032,default
01251f20-6968-11ef-bdc7-f9c9b5da3899,,,,,,,,,1970-01-01 00:00:00.000,,,,,,,,,,,,,,,,,,,,,,,1970-01-01 00:00:00.000,,,,2024-09-02 20:12:20.428,0.0,,,,,,1970-01-01 00:00:00.000,,,,1970-01-01 00:00:00.000,,,1970-01-01 00:00:00.000,,,,,732123201077135.0,,,,2024-09-02 20:12:20.428,18.0,1970-01-01 00:00:00.000,,,1970-01-01 00:00:00.000,,866834047645168.0,1970-01-01 00:00:00.000,,,,,,,,,,,2024-09-02 20:12:20.428,0.0,,,1970-01-01 00:00:00.000,,7645168-1,1727897211033,default
013077b0-7838-11ef-bdc7-f9c9b5da3899,,-91.89,3.566,,292.691808,0.0,,0.0,2024-10-02 03:00:00.000,3566.0,59.0,,,,,,,,39.0,,,,,,1.0,1461.0,,,,0.235,TLM,2024-10-02 03:00:00.000,34.0,99.0,590.0,1970-01-01 00:00:00.000,,0.0,,234.0,7.30819200000002,-100.0,2024-10-02 03:00:00.000,False,0.1566666666666666,48.7008,2024-10-02 03:00:00.000,False,,2024-10-02 03:00:00.000,False,,,,,0.1014285714285714,-92,3.0,2024-10-02 03:00:00.000,92.0,2024-10-02 03:00:00.000,Online,3.0,2024-10-02 03:00:00.000,1.0,,2024-10-02 03:00:00.000,0.0,1.1,,LTE NB-IoT,True,,,,5.0,,1970-01-01 00:00:00.000,,,300.0,2024-10-02 03:00:00.000,6.2992,866088072647819,1727897211033,TEK
0130bc80-5f23-11ef-bdc7-f9c9b5da3899,,,3.594,,,,,17.0,2024-10-02 08:00:00.000,3594.0,59.0,,,,,,,,13.0,,,,,,5.0,1007.0,,,,,TLM,2024-10-02 08:00:00.000,34.0,98.0,590.0,1970-01-01 00:00:00.000,,,,,,,2024-10-02 08:00:00.000,False,,-5.5118,2024-10-02 08:00:00.000,False,,2024-10-02 08:00:00.000,False,,,,,,-91,3.0,2024-10-02 08:00:00.000,91.0,1970-01-01 00:00:00.000,,8.0,2024-10-02 08:00:00.000,1.0,,1970-01-01 00:00:00.000,,1.1,,LTE NB-IoT,True,,,,0.0,,1970-01-01 00:00:00.000,,,999.0,2024-10-02 08:00:00.000,5.5118,866088072623711,1727897211033,TEK
01325a30-4c4b-11ef-a9f6-c90f2ddade4f,,,,,,,,,1970-01-01 00:00:00.000,,,,,,,,,,,,,,,,,,,,,,,1970-01-01 00:00:00.000,,,,1970-01-01 00:00:00.000,,,,,,,1970-01-01 00:00:00.000,,,,1970-01-01 00:00:00.000,,,1970-01-01 00:00:00.000,,,,,732123201706150.0,,,,2024-07-27 19:04:09.802,19.0,1970-01-01 00:00:00.000,,,1970-01-01 00:00:00.000,,862636054265473.0,1970-01-01 00:00:00.000,,,,,,,,,,,1970-01-01 00:00:00.000,,,,1970-01-01 00:00:00.000,,4265473,1727897211033,EdgeLight
013a3cb0-dbed-11ee-a08a-af4e179c51e0,,,,,,,,,1970-01-01 00:00:00.000,,,,,,,,,,,,,,,,,,,,,,,1970-01-01 00:00:00.000,,,,1970-01-01 00:00:00.000,,,,,,,1970-01-01 00:00:00.000,,,,1970-01-01 00:00:00.000,,,1970-01-01 00:00:00.000,,,,,,,,,1970-01-01 00:00:00.000,,1970-01-01 00:00:00.000,,,1970-01-01 00:00:00.000,,,1970-01-01 00:00:00.000,,,,,,,,,,,1970-01-01 00:00:00.000,,,,1970-01-01 00:00:00.000,,7340752-GW,1727897211033,MiradorGateway
013cf650-5ba4-11ed-9857-81f573be3068,,,,,,,,,1970-01-01 00:00:00.000,,,,,,,,,,,,,,,,,,,,,,,1970-01-01 00:00:00.000,,,,1970-01-01 00:00:00.000,,,,,,,1970-01-01 00:00:00.000,,,,1970-01-01 00:00:00.000,,,1970-01-01 00:00:00.000,,,,,,,,,1970-01-01 00:00:00.000,,1970-01-01 00:00:00.000,,,1970-01-01 00:00:00.000,,,1970-01-01 00:00:00.000,,,,,,,,,,,1970-01-01 00:00:00.000,,,,1970-01-01 00:00:00.000,,9166726-GW,1727897211033,MiradorGateway
013e0510-5ff6-11ef-bdc7-f9c9b5da3899,,,,,,,,,1970-01-01 00:00:00.000,,,,,,,,,,,,,,,,,,,,,,,1970-01-01 00:00:00.000,,,,1970-01-01 00:00:00.000,,,,,,,1970-01-01 00:00:00.000,,,,1970-01-01 00:00:00.000,,,1970-01-01 00:00:00.000,,,,,732123201074017.0,,,,2024-08-21 19:46:05.918,19.0,1970-01-01 00:00:00.000,,,1970-01-01 00:00:00.000,,862636054264625.0,1970-01-01 00:00:00.000,,,,,,,,,,,1970-01-01 00:00:00.000,,,,1970-01-01 00:00:00.000,,4264625,1727897211033,EdgeLight
018095d0-34d4-11ef-a9f6-c90f2ddade4f,,,3.619,,372.01622302,2.130546920000029,,16.0,2024-10-02 08:00:00.000,3619.0,59.0,,,,,,,,17.0,,,,,,9.0,1104.0,,,,2.13,TLM,2024-10-02 08:00:00.000,34.0,97.0,590.0,1970-01-01 00:00:00.000,,213.0,,372.0,637.9837769799999,,2024-10-02 08:00:00.000,False,2.306666666666666,27.858380000000004,2024-10-02 08:00:00.000,False,,2024-10-02 08:00:00.000,False,,,,,10.5,-91,3.0,2024-10-02 08:00:00.000,91.0,2024-10-02 08:00:00.000,Offline,8.0,2024-10-02 08:00:00.000,1.0,,2024-10-02 08:00:00.000,0.0,1.1,,LTE CATM1,True,,,,4.0,,1970-01-01 00:00:00.000,,,1010.0,2024-10-02 08:00:00.000,56.14162,864259063709908,1727897211033,TEK
0180f5f0-ed41-11ee-a9f6-c90f2ddade4f,,,3.546,,285.35413814712285,0.72,0.0,,2024-04-25 08:00:00.000,3546.0,68.0,,,,,,,,,,,,,,10.0,,,,,,,2024-04-25 08:00:00.000,34.0,98.0,680.0,1970-01-01 00:00:00.000,,-100.0,,,,,2024-04-25 08:00:00.000,False,,32.076840000000004,2024-04-25 08:00:00.000,False,,2024-04-25 08:00:00.000,False,,,,,2.89,,,2024-04-25 08:00:00.000,14.0,1970-01-01 00:00:00.000,,10.0,1970-01-01 00:00:00.000,,,1970-01-01 00:00:00.000,,,,2G GSM/EDGE,True,,,,0.0,,1970-01-01 00:00:00.000,,,550.0,2024-04-25 08:00:00.000,34.17316,0864259063687336,1727897211033,TEK
0199b520-fa24-11ec-b335-1b21e93a0807,0.0,,,,0.0,0.0,0.0,,2024-09-04 23:12:01.300,0.0,,0.0,,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0,1970-01-01 00:00:00.000,,,0.0,2024-10-02 19:30:17.460,0.0,-100.0,0.0,,81.57684829340002,,1970-01-01 00:00:00.000,,0.0,0.0,1970-01-01 00:00:00.000,,0.0,1970-01-01 00:00:00.000,,0.0,0.0,0.0,,0.0,,,1970-01-01 00:00:00.000,,2024-09-04 23:12:01.300,Offline,,1970-01-01 00:00:00.000,,,2024-09-04 23:12:01.300,0.0,,0.0,,,0.0,0,0,0.0,0.0,1970-01-01 00:00:00.000,,0.0,300.0,1970-01-01 00:00:00.000,,6242884-13,1727897211033,Mirador2Daisy
019b9690-0c68-11ee-9336-3d1048dc9409,,,,0.0,0.0,0.0,0.0,,2024-04-18 18:52:49.428,0.0,,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0,1970-01-01 00:00:00.000,,,0.0,2024-10-02 19:18:45.732,0.0,-100.0,0.0,,2200.0,,1970-01-01 00:00:00.000,,,0.0,1970-01-01 00:00:00.000,,0.0,1970-01-01 00:00:00.000,,0.0,0.0,0.0,,0.0,,,1970-01-01 00:00:00.000,,1970-01-01 00:00:00.000,,,1970-01-01 00:00:00.000,,,1970-01-01 00:00:00.000,,,0.0,,,0.0,0,0,0.0,0.0,1970-01-01 00:00:00.000,,0.0,2200.0,1970-01-01 00:00:00.000,,0430293-2,1727897211033,Mirador2Daisy
